ダウンロードした時刻：2019/10/03 21:05:46

,金沢,金沢,金沢,金沢,金沢,金沢
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2019/9/2,25.7,8,1,22.5,8,1
2019/9/3,27.3,8,1,22.6,8,1
2019/9/4,29.6,8,1,22.7,8,1
2019/9/5,33.7,8,1,23.2,8,1
2019/9/6,34.1,8,1,24.3,8,1
2019/9/7,33.0,8,1,23.5,8,1
2019/9/8,33.7,8,1,25.3,8,1
2019/9/9,32.7,8,1,26.4,8,1
2019/9/10,32.6,8,1,25.8,8,1
2019/9/11,30.2,8,1,23.2,8,1
2019/9/12,27.8,8,1,21.2,8,1
2019/9/13,27.1,8,1,21.9,8,1
2019/9/14,30.8,8,1,20.9,8,1
2019/9/15,30.7,8,1,22.5,8,1
2019/9/16,28.9,8,1,22.6,8,1
2019/9/17,28.1,8,1,21.8,8,1
2019/9/18,27.2,8,1,21.5,8,1
2019/9/19,24.8,8,1,17.7,8,1
2019/9/20,24.9,8,1,16.1,8,1
2019/9/21,22.3,8,1,18.9,8,1
2019/9/22,24.3,8,1,19.6,8,1
2019/9/23,33.9,8,1,20.0,8,1
2019/9/24,24.6,8,1,19.0,8,1
2019/9/25,27.3,8,1,16.8,8,1
2019/9/26,28.3,8,1,17.8,8,1
2019/9/27,30.5,8,1,18.9,8,1
2019/9/28,26.2,8,1,21.7,8,1
2019/9/29,28.4,8,1,21.5,8,1
2019/9/30,28.0,8,1,20.9,8,1
2019/10/1,29.7,8,1,20.2,8,1
2019/10/2,30.5,8,1,22.0,8,1
